Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
Lateral stability analysis of on-road vehicles using Lyapunov's direct method;"Sadri, S.; Wu, C.Q.";Intelligent Vehicles Symposium (IV), 2012 IEEE;2012;IEEE ;O;O;O;;;;;;;;
Lattice Structure Design and Optimization With Additive Manufacturing Constraints;"Y. Tang; G. Dong; Q. Zhou; Y. F. Zhao";IEEE Transactions on Automation Science and Engineering;2018;IEEE;NO;;;;;;;;;;
Layered design of CORBA audio/video streaming service in a distributed Java ORB middleware multimedia platform;"Cho, K.C.; Yeong-Tae Song";Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, 2005 and First ACIS International Workshop on Self-Assembling Wireless Networks. SNPD/SAWN 2005. Sixth International Conference on;2005;IEEE ;O;O;O;;;;;;;;
LCARS: the next generation programming context;Andreas Heil, Iman Moradi, Torben Weis;CAI '06: Proceedings of the international workshop in conjunction with AVI 2006 on Context in advanced interfaces;2006  ;ACM;O;O;O;;;;;;;;
Lead-induced effects on learning/memory and fear/anxiety are correlated with disturbances in specific cholinesterase isoform activity and redox imbalance in adult brain ;"Ferlemi, Anastasia-Varvara; Avgoustatos, Dionisis; Kokkosis, Alexandros G.; Protonotarios, Vasilis; Constantinou, Caterina & Margarity, Marigoula";Physiology & Behavior ;2014;ScienceDirect;;;;;;;;;X;;
Learning a probabilistic self-awareness model for robotic systems;"Golombek, Raphael; Wrede, S.; Hanheide, M.; Heckmann, Martin";Intelligent Robots and Systems (IROS), 2010 IEEE/RSJ International Conference on;2010;IEEE ;O;O;O;;;;;;;;
Learning Affordance for Autonomous Driving;Jianxiong  Xiao;CarSys '17;2017;ACM;No;;;;;;;;;;
Learning End-to-End Autonomous Steering Model from Spatial and Temporal Visual Cues;Lu  Chi and Yadong  Mu;VSCC '17;2017;ACM;No;;;;;;;;;;
Learning Environment Model at Runtime for Self-adaptive Systems;Moeka  Tanabe and Kenji  Tei and Yoshiaki  Fukazawa and Shinichi  Honiden;SAC '17;2017;ACM;No;;;;;;;;;;
Learning from Human Collaborative Experience: Robot Learning via Crowdsourcing of Human-Robot Interaction;Jeffrey Too Chuan  Tan and Yoshinobu  Hagiwara and Tetsunari  Inamura;HRI '17;2017;ACM;NO;;;;;;;;;;
Learning from Richer Human Guidance: Augmenting Comparison-Based Learning with Feature Queries;Chandrayee  Basu and Mukesh  Singhal and Anca D. Dragan;HRI '18;2018;ACM;NO;;;;;;;;;;
Learning Object Grasping for Soft Robot Hands;"C. Choi; W. Schwarting; J. DelPreto; D. Rus";IEEE Robotics and Automation Letters;2018;IEEE;NO;;;;;;;;;;
Learning Optimal Redistribution Mechanisms Through Neural Networks;Padala  Manisha and C. V.  Jawahar and Sujit  Gujar;AAMAS '18;2018;ACM;NO;;;;;;;;;;
Learning Scalable Deep Kernels with Recurrent Structure;Maruan  Al-Shedivat and Andrew Gordon Wilson and Yunus  Saatchi and Zhiting  Hu and Eric P. Xing;;2017;ACM;NO;;;;;;;;;;
Learning search heuristics for finding objects in structured environments ;"Joho, Dominik; Senk, Martin & Burgard, Wolfram";Robotics and Autonomous Systems ;2011;ScienceDirect;O;O;O;;;;;;;;
Learning Temporal Strategic Relationships Using Generative Adversarial Imitation Learning;Tharindu  Fernando and Simon  Denman and Sridha  Sridharan and Clinton  Fookes;AAMAS '18;2018;ACM;No;;;;;;;;;;
Learning the State of the World: Object-based World Modeling for Mobile Manipulation Robots;Lawson L. S. Wong;;2017;ACM;No;;;;;;;;;;
LESLA: A Smart Solution for SDN-enabled mMTC E-health Monitoring System;Bizhu  Wang and Yan  Sun and Chunjing  Yuan and Xiaodong  Xu;MobileHealth'18;2018;ACM;NO;;;;;;;;;;
Lessons Learned from Model-Based Safety Assessment with SysML and Component Fault Trees;Arne  Nordmann and Peter  Munk;MODELS '18;2018;ACM;No;;;;;;;;;;
Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments;Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang;;2017;ACM;No;;;;;;;;;;
Leukotriene \D4\ receptor antagonist montelukast alleviates water avoidance stress-induced degeneration of the gastrointestinal mucosa ;"Ersoy, Yasemin; Ã‡ikler, Esra; Ã‡etinel, Åžule; Åžener, GÃ¶ksel & Ercan, Feriha";Prostaglandins, Leukotrienes and Essential Fatty Acids ;2008;ScienceDirect;;;;;;;;;X;;
Leveraging BLE and Social Trust to Enable Mobile in Situ Collaborations;Khaled  Alanezi and Rahat Ibn Rafiq and Lijun  Chen and Shivakant  Mishra;IMCOM '17;2017;ACM;No;;;;;;;;;;
Leveraging Teenagers Feedback in the Development of a Domain-specific Language: The Case of Programming Low-cost Robots;"Ankica  Bari&#353;i&#263; and Jo&#227;o  Cambeiro and Vasco  Amaral and Miguel  Goul&#227;o and Tarqu&#237;nio  Mota";SAC '18;2018;ACM;No;;;;;;;;;;
Leveraging teenagers feedback in the development of a domain-specific language: The case of programming low-cost robots;Barišić A., Cambeiro J., Amaral V., Goulo M., Mota T.;Proceedings of the ACM Symposium on Applied Computing;2018;SCOPUS;N;;;;;;;;;;
Leveraging User Activities and Mobile Robots for Semantic Mapping and User Localization;Stefano  Rosa and Xiaoxuan  Lu and Hongkai  Wen and Niki  Trigoni;HRI '17;2017;ACM;NO;;;;;;;;;;
Likelihood-Field-Model-Based Dynamic Vehicle Detection and Tracking for Self-Driving;"Chen, Tongtong; Wang, Ruili; Dai, Bin; Liu, Daxue; Song, Jinze";J;2016;WOS;;;;;;;;;;;
Linguistic Markers Indicating Therapeutic Outcomes of Social Media Disclosures of Schizophrenia;Sindhu Kiranmai  Ernala and Asra F. Rizvi and Michael L. Birnbaum and John M. Kane and Munmun  De Choudhury;;2017;ACM;NO;;;;;;;;;;
Listening to Chaotic Whispers: A Deep Learning Framework for News-oriented Stock Trend Prediction;Ziniu  Hu and Weiqing  Liu and Jiang  Bian and Xuanzhe  Liu and Tie-Yan  Liu;WSDM '18;2018;ACM;NO;;;;;;;;;;
Live Synthesis of Vehicle-Sourced Data Over 4G LTE;Wenlu  Hu and Ziqiang  Feng and Zhuo  Chen and Jan  Harkes and Padmanabhan  Pillai and Mahadev  Satyanarayanan;MSWiM '17;2017;ACM;No;;;;;;;;;;
LLVM Compiler Implementation for Explicit Parallelization and SIMD Vectorization;Xinmin  Tian and Hideki  Saito and Ernesto  Su and Jin  Lin and Satish  Guggilla and Diego  Caballero and Matt  Masten and Andrew  Savonichev and Michael  Rice and Elena  Demikhovsky and Ayal  Zaks and Gil  Rapaport and Abhinav  Gaba and Vasileios  Porpodas and Eric  Garcia;LLVM-HPC'17;2017;ACM;NO;;;;;;;;;;
Local Algorithms for Sensor Selection;Simon  Shamoun and Tianyi  Tu and Tarek  Adbelzaher and Amotz  Bar-Noy;PE-WASUN'18;2018;ACM;No;;;;;;;;;;
Local parallelization of pleasingly parallel stream processing on multiple CPU cores;R. Gad M. Kappes I. Medina-Bulo;2016 IEEE 7th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON);2016;IEEE;o;o;;;;;;;x;;
Localisation of Drone Controllers from RF Signals Using a Deep Learning Approach;David  Shorten and Ashley  Williamson and Saket  Srivastava and John C. Murray;PRAI 2018;2018;ACM;No;;;;;;;;;;
Location Prediction of Vehicles in VANETs Using A Kalman Filter;Huifang Feng, Chunfeng Liu, Yantai Shu, Oliver W. Yang;Wireless Personal Communications: An International Journal;2015  ;ACM;O;O;O;;;;;;;;
Logic-Based Program Synthesis and Transformation - 21st International Symposium, LOPSTR 2011, Revised Selected Papers;[No author name available];Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2012;Scopus;;;;O;;;;;;;
Lower Limb Rehabilitation Robot in Sitting Position for Various Therapeutic Exercises;Trinnachoke  Eiammanussakul and Viboon  Sangveraphunsiri;ICBBT '17;2017;ACM;NO;;;;;;;;;;
Mac 0S 8.5 Black Book;Bell, Mark R. and Suggs, Debrah;;1998;ACM;;;;;;;;X;X;;
MAC OS 9.1 Black Book with Cdrom;Bell, Mark R. and Suggs, Debrah D.;;2000;ACM;;;;;;;;X;X;;
Machine Learning As a Powerful Tool to Enjoy Future Intelligent Wireless Networks;Wessam  Ajib;MSWIM '18;2018;ACM;No;;;;;;;;;;
Machine Learning for the Peer Assessment Credibility;Yingru  Lin and Soyeon Caren Han and Byeong Ho  Kang;WWW '18;2018;ACM;NO;;;;;;;;;;
Machine Learning Helps Identify New Drug Mechanisms in Triple-Negative Breast Cancer;"A. P. Athreya; A. J. Gaglio; J. Cairns; K. R. Kalari; R. M. Weinshilboum; L. Wang; Z. T. Kalbarczyk; R. K. Iyer";IEEE Transactions on NanoBioscience;2018;IEEE;NO;;;;;;;;;;
Machine Learning Models for Road Surface and Friction Estimation using Front-Camera Images;"S. Roychowdhury; M. Zhao; A. Wallin; N. Ohlsson; M. Jonasson";2018 International Joint Conference on Neural Networks (IJCNN);2018;IEEE;NO;;;;;;;;;;
Machine Learning-Based Prototyping of Graphical User Interfaces for Mobile Apps;"K. P. Moran; C. Bernal-C&#x00E1;rdenas; M. Curcio; R. Bonett; D. Poshyvanyk";IEEE Transactions on Software Engineering;2018;IEEE;NO;;;;;;;;;;
Magnetic Model Self-Identification for PM Synchronous Machine Drives;"Pellegrino, Gianmario; Boazzo, Barbara; Jahns, Thomas M.";J;2015;WOS;O;O;;;;;;;X;;
Making a Living My Way: Necessity-driven Entrepreneurship in Resource-Constrained Communities;Julie  Hui and Kentaro  Toyama and Joyojeet  Pal and Tawanna  Dillahunt;;2018;ACM;No;;;;;;;;;;
Making Halide Efficient for Multicore Systems;"Y. Zhang; Y. Zhang";2018 4th International Conference on Big Data Computing and Communications (BIGCOM);2018;IEEE;NO;;;;;;;;;;
Making Multiagent System Designs Reusable: A Model-Driven Approach;"Warwas, S.; Klusch, M.";Web Intelligence and Intelligent Agent Technology (WI-IAT), 2011 IEEE/WIC/ACM International Conference on;2011;IEEE ;O;O;O;;;;;;;;
Mal de Debarquement presenting in the Emergency Department ;DeFlorio, Paul T. & Silbergleit, Robert;The Journal of Emergency Medicine ;2006;ScienceDirect;;;;;;;;;X;;
MAMAS: Mealtime Assistance to Improve Eating Behavior of Children Using Magnetometer and Speech Recognition;Sungmook  Leem and Eun Jee  Sung and Sungjin  Lee and Ilyoung  Jin;ASSETS '18;2018;ACM;NO;;;;;;;;;;
Managing Design-Time Uncertainty;"M. Famelis; M. Chechik";2017 ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems (MODELS);2017;IEEE;NO;;;;;;;;;;
Managing domain-specific, product-line development;"Macala, R.R.; Stuckey, L.D., Jr.; Gross, D.C.";Software, IEEE;1996;IEEE ;;;;;;;;;;X;
Managing Heterogeneity in Model-Based Systems Engineering of Cyber-Physical Systems;B. V. Acker J. Denil H. Vangheluwe P. D. Meulenaere;2015 10th International Conference on P2P, Parallel, Grid, Cloud and Internet Computing (3PGCIC);2015;IEEE;o;o;;;;;;;;;
Managing Massive Firmware-Over-The-Air Updates for Connected Cars in Cellular Networks;Carlos E. Andrade and Simon D. Byers and Vijay  Gopalakrishnan and Emir  Halepovic and Milap  Majmundar and David J. Poole and Lien K. Tran and Christopher T. Volinsky;CarSys '17;2017;ACM;NO;;;;;;;;;;
Managing moose harvests by the seat of your pants ;"Boyce, Mark S.; Baxter, Peter W.J. & Possingham, Hugh P.";Theoretical Population Biology ;2012;ScienceDirect;;;;;;;;;X;;
Managing safety and adaptability in Mobile Multi-Robot systems;D. Bozhinoski;2015 11th International ACM SIGSOFT Conference on Quality of Software Architectures (QoSA);2015;IEEE;x;x;x;x;x;x;;;;;
Managing Testing Complexity in Dynamically Adaptive Systems: A Model-Driven Approach;"Welsh, K.; Sawyer, P.";Software Testing, Verification, and Validation Workshops (ICSTW), 2010 Third International Conference on;2010;IEEE ;O;O;O;;;;;;;;
Managing the Functional Variability of Robotic Perception Systems;D. Brugali N. Hochgeschwender;2017 First IEEE International Conference on Robotic Computing (IRC);2017;IEEE;;;;;;;;;;;YES
Managing the internet of things;Romano B.;Proceedings of the Conference on Integrating Technology into Computer Science Education, ITiCSE;2017;SCOPUS;N;;;;;;;;;;
Map-Based Interaction with a Conversational Mobile Recommender System;"Averjanova, O.; Ricci, F.; Nguyen, Q.N.";Mobile Ubiquitous Computing, Systems, Services and Technologies, 2008. UBICOMM '08. The Second International Conference on;2008;IEEE ;O;O;O;;;;;;;;
Marine object detection in UAV full-motion video;Parameswaran S., Lane C., Bagnall B., Buck H.;Proceedings of SPIE - The International Society for Optical Engineering;2014;Scopus;O;O;O;;;;;;;;
Maritime situation analysis framework: Vessel interaction classification and anomaly detection;H. Y. Shahir U. Glasser A. Y. Shahir H. Wehn;2015 IEEE International Conference on Big Data (Big Data);2015;IEEE;o;o;;;;;;;x;;
Market-driven agents with uncertain and dynamic outside options;Ren F., Sim K.M., Zhang M.;Proceedings of the International Conference on Autonomous Agents;2007;Scopus;O;O;O;;;;;;;;
Mashups: Concepts, Models and Architectures;Florian Daniel, Maristella Matera;Mashups: Concepts, Models and Architectures;2014  ;ACM;;;;;;;;X;;;
Mastering erosion of software architecture in automotive software product lines;Strasser A., Cool B., Gernert C., Knieke C., Korner M., Niebuhr D., Peters H., Rausch A., Brox O., Jauns-Seyfried S., Jelden H., Klie S., Kramer M.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;Scopus;O;O;O;;;;;;;;
Matching conic curve segments;"Zielke, T.; von Seelen, W.";Pattern Recognition, 1992. Vol.I. Conference A: Computer Vision and Applications, Proceedings., 11th IAPR International Conference on;1992;IEEE ;;;;;;;;;;X;
Mathematical Model for a Collaborative Indoor Position System (IPS) and Movement Detection of Devices Within IoT Environment;D. R. Vasconcelos and F. L. R. Pimentel and R. M. C. Andrade and J. N. Souza;SAC '17;2017;ACM;No;;;;;;;;;;
Mathematical model for self-propelled droplets driven by interfacial tension;"Nagai, Ken H.; Tachibana, Kunihito; Tobe, Yuta; Kazama, Masaki; Kitahata, Hiroyuki; Omata, Seiro; Nagayama, Masaharu";J;2016;WOS;O;O;;;;;;;x;;
Maturity of software modelling and model driven engineering: A survey in the Italian industry;"Tomassetti, F.; Torchiano, M.; Tiso, A.; Ricca, F.; Reggio, G.";Evaluation & Assessment in Software Engineering (EASE 2012), 16th International Conference on;2012;IEEE ;O;O;O;;;;;;;;
MC-CDMA uplink-blind carrier frequency offset estimation;"Tureli, U.; Kivanc, D.; Hui Liu";Signals, Systems and Computers, 2000. Conference Record of the Thirty-Fourth Asilomar Conference on;2000;IEEE ;O;O;O;;;;;;;;
MDAI: Model based design in automobile industry;Ferreira, J.;Industrial Informatics, 2009. INDIN 2009. 7th IEEE International Conference on;2009;IEEE ;O;O;O;;;;;;;;
MDCI: Model-driven continuous integration;Vicente García-Díaz, B. Cristina Pelayo García-Bustelo, Juan Manuel Cueva Lovelle;Journal of Ambient Intelligence and Smart Environments;2012;ACM;O;O;O;;;;;;;;
MDD Based CASE Tool for Modeling Heterogeneous Multi-jointed Robots;"WooYeol Kim; Hyun Seung Son; Kim, R.Y.C.; Carlson, C.R.";Computer Science and Information Engineering, 2009 WRI World Congress on;2009;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
MDE-based automated provisioning and management of cloud applications;Bhattacharjee A.;CEUR Workshop Proceedings;2017;SCOPUS;N;;;;;;;;;;
MDE-based Design and Implementation of Autonomic Software Components;Barbier, F.;Cognitive Informatics, 2006. ICCI 2006. 5th IEEE International Conference on;2006;IEEE ;O;O;O;;;;;;;;
MDE-based Development of a Multispectral Camera for Precision Agriculture;D. Doering, M.R. Vizzotto, C. Bredemeier, C.M. da Costa, R.V.B. Henriques, E. Pignaton, C.E. Pereira;IFAC-PapersOnLine, Volume 49, Issue 30, 2016, Pages 24-29;2016;Scopus;;O;;;;;;;;;
MDE4IoT: Supporting the internet of things with model-driven engineering;Ciccozzi F., Spalazzese R.;Studies in Computational Intelligence;2017;SCOPUS;N;;;;;;;;;;
Mechanical Design of an Elbow Exoskeleton Device;Qiaoling  Meng and Meng  Wang and Shichuan  Xiang and Hongliu  Yu and Haicun  Shao and Hui  Zhang;i-CREATe 2017;2017;ACM;NO;;;;;;;;;;
MechVR: A Physics-based Proxy for Locomotion and Interaction in a Virtual Environment;Victor  Zordan and John  Welter and Saurabh  Hindlekar and J. Emerson Smith,III and W. Garrett Mckay and Kunta  Lowe and Carlos  Marti and R. Austin Taylor;MIG '17;2017;ACM;No;;;;;;;;;;
MENTA: A model-driven architecture to enable self-adaptive SOA systems;"Perez, B.; Correal, D.";Computing Congress (CCC), 2011 6th Colombian;2011;IEEE ;O;O;O;;;;;;;;
MENTA: A quality analysis approach for self-adapting systems;Perez B., Correal D.;CEUR Workshop Proceedings;2011;Scopus;O;O;O;;;;;;;;
Mental Health Disorders in Young Urban Sexual Minority Men ;"Burns, Michelle Nicole; Ryan, Daniel T.; Garofalo, Robert; Newcomb, Michael E. & Mustanski, Brian";Journal of Adolescent Health ;2015;ScienceDirect;;;;;;;;;X;;
Message Modeling for the Joint Architecture for Unmanned Systems (JAUS);"Whitsitt, Sean; Sprinkle, J.";Engineering of Computer Based Systems (ECBS), 2011 18th IEEE International Conference and Workshops on;2011;IEEE ;;;;;;;;;;;
MEST: A model-driven efficient searching approach for map reduce self-tuning;Bei Z., Yu Z., Liu Q., Xu C., Feng S., Song S.;IEEE Access;2017;SCOPUS;N;;;;;;;;;;
Meta-models, models, and model transformations: Towards interoperable agents;"Hahn C;Madrigal-Mora C;Fischer K;Elvesaeter B;Berre AJ;Zinnikus I;";Multiagent System Technologies, Proceedings;2006;WOS;;;;;;O;;;;;
Metamodeling techniques applied to the design of reconfigurable control applications;Luca Ferrarini, Giuseppe Fogliazza, Giulia Mirandola, Carlo Veber;EURASIP Journal on Embedded Systems;2008;ACM;O;O;O;;;;;;;;
Method for Fast Judgment of Inland Waterway Wreck Based on AIS;Jirong  Jiang and Ying  Sun and Yajie  Zhang and Chenyi  Wang and Jiexin  Liu;ICMSR '18;2018;ACM;NO;;;;;;;;;;
Method of Task Assignment for UAV Based on Particle Swarm Optimization in Logistics;Xiaowei  Jiang and Qiang  Zhou and Ying  Ye;ISMSI '17;2017;ACM;No;;;;;;;;;;
Method of visual construction of real-time knowledge base rules;A. A. Tiugashev;2016 XIX IEEE International Conference on Soft Computing and Measurements (SCM);2016;IEEE;o;o;;;;;;;x;;
Methodology for the model-driven development of self-managing systems;Radu Calinescu;Proceedings of the 5th conference on Computing frontiers;2008;ACM;O;O;O;;;;;;;;
Methodology for the model-driven development of service oriented IoT applications;Sosa-Reyna C.M., Tello-Leal E., Lara-Alabazares D.;Journal of Systems Architecture;2018;SCOPUS;N;;;;;;;;;;
Methods for XML Based Data Modeling and Model-Driven Development of Interfaces in Ship Combat System Simulation;"Xiaoming Dong; Jin Yao";Computer Science and Electronics Engineering (ICCSEE), 2012 International Conference on;2012;IEEE ;O;O;O;;;;;;;;
mHealth for Maternal Mental Health: Everyday Wisdom in Ethical Design;Marguerite  Barry and Kevin  Doherty and Jose  Marcano Belisario and Josip  Car and Cecily  Morrison and Gavin  Doherty;CHI '17;2017;ACM;NO;;;;;;;;;;
MICE: Monitoring and ModelIng the Context Evolution;"Berardinelli, L.; Marco, A.D.; Paolo, F.D.";Self-Adaptive and Self-Organizing Systems Workshops (SASOW), 2012 IEEE Sixth International Conference on;2012;IEEE ;O;O;O;;;;;;;;
MicroISPs: providing convenient and low-cost high-bandwidth Internet access ;Brustoloni, JosÃ© & Garay, Juan;Computer Networks ;2000;ScienceDirect;O;O;O;;;;;;;;
Microscope with 3-D mapping capabilities for planetary exploration applications;Doucet M., Dietrich P., Chateauneuf F.;Proceedings of SPIE - The International Society for Optical Engineering;2012;Scopus;O;O;O;;;;;;;;
Microservices: The Journey So Far and Challenges Ahead;"P. Jamshidi; C. Pahl; N. C. Mendon√ßa; J. Lewis; S. Tilkov";IEEE Software;2018;IEEE;NO;;;;;;;;;;
MIDE-based Sensor Management and Verification for a Self-driving Miniature Vehicle;Mamun, Md Abdullah Al and Berger, Christian and Hansson, Jorgen;Proceedings of the 2013 ACM Workshop on Domain-specific Modeling;2013;ACM;O;O;O;;;;;;;;
MindfulWatch: A Smartwatch-Based System For Real-Time Respiration Monitoring During Meditation;Tian  Hao and Chongguang  Bi and Guoliang  Xing and Roxane  Chan and Linlin  Tu;;2017;ACM;NO;;;;;;;;;;
Mini-App Driven Optimisation of Inertial Confinement Fusion Codes;R. F. Bird P. Gillies M. R. Bareford J. A. Herdman S. A. Jarvis;2015 IEEE International Conference on Cluster Computing;2015;IEEE;o;o;;;;;;;x;;
Minimalistic control of biped walking in rough terrain;"Iida F;Tedrake R;";Autonomous Robots;2010;WOS;O;O;O;;;;;;;;
Mining Event-Oriented Topics in Microblog Stream with Unsupervised Multi-View Hierarchical Embedding;Min  Peng and Jiahui  Zhu and Hua  Wang and Xuhui  Li and Yanchun  Zhang and Xiuzhen  Zhang and Gang  Tian;;2018;ACM;NO;;;;;;;;;;
Mining Historical Data Towards Interference Management in Wireless SDNs;Maryam  Karimi and Prashant  Krishnamurthy and James  Joshi and David  Tipper;Q2SWinet '17;2017;ACM;No;;;;;;;;;;
Mining Minds: An innovative framework for personalized health and wellness support;O. Banos M. B. Amin W. Ali Khan T. Ali M. Afzal Byeong Ho Kang S. Lee;2015 9th International Conference on Pervasive Computing Technologies for Healthcare (PervasiveHealth);2015;IEEE;o;o;;;;;;;x;;
Mission operations with an autonomous agent;"Pell, B.; Sawyer, S.R.; Muscettola, N.; Smith, B.; Bernard, D.E.";Aerospace Conference, 1998 IEEE;1998;IEEE ;O;O;O;;;;;;;;
Mission Support for Drones: A Policy Based Approach;Alan  Cullen and Bill  Williams and Elisa  Bertino and Saritha  Arunkumar and Erisa  Karafili and Emil  Lupu;DroNet '17;2017;ACM;Yes;;;;;;;;;;
Mission-adaptable route planning in uncertain and adversarial environment;"Yan P;Ding M;Zheng C;";International Journal on Artificial Intelligence Tools;2006;WOS;;;;;;O;;;;;
Mitigating Evasion Attacks to Deep Neural Networks via Region-based Classification;Xiaoyu  Cao and Neil Zhenqiang Gong;ACSAC 2017;2017;ACM;NO;;;;;;;;;;
Mitigating the obsolescence of quality specifications models in service-based systems;"Torres, R.; Bencomo, N.; Astudillo, H.";Model-Driven Requirements Engineering Workshop (MoDRE), 2012 IEEE;2012;IEEE ;O;O;O;;;;;;;;
Mixed Approaches to CS0: Exploring Topic and Pedagogy Variance After Six Years of CS0;"Zo&#235; J. Wood and John  Clements and Zachary  Peterson and David  Janzen and Hugh  Smith and Michael  Haungs and Julie  Workman and John  Bellardo and Bruce  DeBruhl";SIGCSE '18;2018;ACM;NO;;;;;;;;;;
Mixing in the solar nebula: Implications for isotopic heterogeneity and large-scale transport of refractory grains ;Boss, Alan P.;Earth and Planetary Science Letters ;2008;ScienceDirect;;;;;;;;;X;;
MM-ulator: Towards a Common Evaluation Platform for Mixed Mode Environments;Kropff, Matthias and Reinl, Christian and Listmann, Kim and Petersen, Karen and Radkhah, Katayon and Shaikh, Faisal Karim and Herzog, Arthur and Strobel, Armin and Jacobi, Daniel and Stryk, Oskar;Proceedings of the 1st International Conference on Simulation, Modeling, and Programming for Autonomous Robots;2008;ACM;O;O;O;;;;;;;;
Mobile Application for Monitoring Oncological Treatments of Children of the Carlos Portela Foundation;"Jose Edgar Carabali and Andr&#233;s  Solano";"Interacci&oacute;n 2018";2018;ACM;NO;;;;;;;;;;
Mobile Apps and Social Media: Enablers of Media Literacy in Primary School Students;"Ana  P&#233;rez-Escoda and &#193;gueda  Delgado-Ponce and Paula  Ren&#233;s-Arellano and Paloma  Contreras-Pulido and Vicent  Goz&#225;lvez and Amor  P&#233;rez-Rodr&#237;guez and Pilar Mar&#237;n Mateos";TEEM 2017;2017;ACM;NO;;;;;;;;;;
Mobile Apps to Improve ThErapy: The Health Practitioner in Your Pocket Knows You;"Rui Neves Madeira and Patr&#237;cia  Macedo and Carla  Pereira and Helena  Germano and Jo&#227;o  Ferreira";MoMM2017;2017;ACM;No;;;;;;;;;;
Mobile Cloud Robotics as a Service with OCCIware;"P. Merle; C. Gourdin; N. Mitton";2017 IEEE International Congress on Internet of Things (ICIOT);2017;IEEE;NO;;;;;;;;;;
Mobile Governance in India: Innovative Sustainable Business Modelling;Monica  Singhania and Aditi  Jaitly;ICEGOV '17;2017;ACM;No;;;;;;;;;;
Mobile Robot Global Localization Using Particle Swarm Optimization with a 2D Range Scan;Qibin  Zhang and Peng  Wang and Peng  Bao and Zonghai  Chen;ICRAI 2017;2017;ACM;NO;;;;;;;;;;
Mobile Robot Path Planners With Memory for Mobility Diversity Algorithms;D. B. Licea D. McLernon M. Ghogho;IEEE Transactions on Robotics;2017;IEEE;o;o;;;;;;;x;;
Mobile Sensing to Improve Medication Adherence: Demo Abstract;Ramin  Fallahzadeh and Bryan  Minor and Lorraine S. Evangelista and Diane J. Cook and Hassan  Ghasemzadeh;IPSN '17;2017;ACM;NO;;;;;;;;;;
Mobile Viewing and Self-Management of Patient's Electronic Health Records (EHRs) with MyHealthCloud;Muhammad Nsr Khan and Olga  Ormandjieva and Kristina  Pitula;MobileHealth'17;2017;ACM;No;;;;;;;;;;
Mobility and Epidemic Process in Temporal Networks;Djibril  Mboup and Cherif  Diallo and Moussa  Lo;AWICT 2017;2017;ACM;NO;;;;;;;;;;
Mobility Based Study of Routing Protocols in Mobile Ad Hoc Network;Younes Ben Chigra and Abderrahim  Ghadi and Mohamed  Bouhorma;SCAMS '17;2017;ACM;No;;;;;;;;;;
Mobility-based Proactive Multicast for Seamless Mobility Support in Cellular Network Environments;Xenofon  Vasilakos and Mohammed  Al-Khalidi and Vasilios A. Siris and Martin J. Reed and Nikolaos  Thomos and George C. Polyzos;MECOMM '17;2017;ACM;No;;;;;;;;;;
MOCAS: A State-Based Component Model for Self-Adaptation;"Ballagny, C.; Hameurlain, N.; Barbier, F.";Self-Adaptive and Self-Organizing Systems, 2009. SASO '09. Third IEEE International Conference on;2009;IEEE ;O;O;O;;;;;;;;
Mockup driven web development;Edward Benson;WWW '13 Companion: Proceedings of the 22nd international conference on World Wide Web companion;2013  ;ACM;O;O;O;;;;;;;;
Mode-driven volume analysis based on correlation of time series;Jia C., Pang W., Fu Y.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2015;Scopus;O;O;O;;;;;;;;
Model and Tool Integration Platforms for Cyber‚ÄìPhysical System Design;"J. Sztipanovits; T. Bapty; X. Koutsoukos; Z. Lattmann; S. Neema; E. Jackson";Proceedings of the IEEE;2018;IEEE;NO;;;;;;;;;;
Model based control of fiber reinforced elastofluidic enclosures;"D. Bruder; A. Sedal; J. Bishop-Moser; S. Kota; R. Vasudevan";2017 IEEE International Conference on Robotics and Automation (ICRA);2017;IEEE;NO;;;;;;;;;;
Model Based Interpretation of 3-D Range Data ;Kuan, Darwin T. & Drazovich, Robert J.;;1986;ScienceDirect;;;;;;;;;;X;
Model based self-explanatory user interfaces [Auto-explication d’interfaces homme-machine basées sur les modèles];García Frey A., Dupuy-Chessa S., Calvary G.;Ingenierie des Systemes d'Information;2017;SCOPUS;N;;;;;;;;;;
Model checking of security properties: A case study on Human-Robot Interaction processes;G. A. Farulla A. L. Lamprecht;2017 12th International Conference on Design & Technology of Integrated Systems In Nanoscale Era (DTIS);2017;IEEE;o;o;;;;;;;;;
